[2025-10-08 14:04:34,995] [INFO] root: Logging system initialized!
[2025-10-08 14:04:34,995] [INFO] comm: Starting uplinker/downlinker connecting to FSW using ip with fprime
[2025-10-08 14:04:34,996] [INFO] udp_handler: Client connected to 192.168.4.1:50000
[2025-10-08 14:04:34,996] [WARNING] tcp_handler: Failed to open socket at 192.168.4.1:50000, retrying: ConnectionRefusedError: [Errno 111] Connection refused
[2025-10-08 14:04:35,033] [INFO] transport: Incoming binding to: ipc:///tmp/fprime-server-in
[2025-10-08 14:04:35,521] [INFO] transport: Outgoing binding to: ipc:///tmp/fprime-server-out
[2025-10-08 14:04:35,996] [WARNING] tcp_handler: Failed to open socket at 192.168.4.1:50000, retrying: ConnectionRefusedError: [Errno 111] Connection refused
[2025-10-08 14:04:36,997] [WARNING] tcp_handler: Failed to open socket at 192.168.4.1:50000, retrying: ConnectionRefusedError: [Errno 111] Connection refused
[2025-10-08 14:04:37,997] [WARNING] tcp_handler: Failed to open socket at 192.168.4.1:50000, retrying: ConnectionRefusedError: [Errno 111] Connection refused
[2025-10-08 14:04:38,997] [WARNING] tcp_handler: Failed to open socket at 192.168.4.1:50000, retrying: ConnectionRefusedError: [Errno 111] Connection refused
[2025-10-08 14:04:39,997] [WARNING] tcp_handler: Failed to open socket at 192.168.4.1:50000, retrying: ConnectionRefusedError: [Errno 111] Connection refused
[2025-10-08 14:04:40,997] [WARNING] tcp_handler: Failed to open socket at 192.168.4.1:50000, retrying: ConnectionRefusedError: [Errno 111] Connection refused
[2025-10-08 14:04:41,997] [WARNING] tcp_handler: Failed to open socket at 192.168.4.1:50000, retrying: ConnectionRefusedError: [Errno 111] Connection refused
[2025-10-08 14:04:42,998] [WARNING] tcp_handler: Failed to open socket at 192.168.4.1:50000, retrying: ConnectionRefusedError: [Errno 111] Connection refused
[2025-10-08 14:04:46,467] [WARNING] tcp_handler: Failed to open socket at 192.168.4.1:50000, retrying: ConnectionRefusedError: [Errno 111] Connection refused
[2025-10-08 14:04:47,468] [WARNING] tcp_handler: Failed to open socket at 192.168.4.1:50000, retrying: ConnectionRefusedError: [Errno 111] Connection refused
[2025-10-08 14:04:48,468] [WARNING] tcp_handler: Failed to open socket at 192.168.4.1:50000, retrying: ConnectionRefusedError: [Errno 111] Connection refused
