[2025-10-15 10:45:26,298] [INFO] root: Logging system initialized!
[2025-10-15 10:45:26,301] [INFO] comm: Starting uplinker/downlinker connecting to FSW using ip with fprime
[2025-10-15 10:45:26,302] [INFO] udp_handler: Client connected to 172.20.10.2:50000
[2025-10-15 10:45:26,305] [INFO] transport: Incoming binding to: ipc:///tmp/fprime-server-in
[2025-10-15 10:45:26,367] [WARNING] tcp_handler: Failed to open socket at 172.20.10.2:50000, retrying: ConnectionRefusedError: [Errno 111] Connection refused
[2025-10-15 10:45:26,813] [INFO] transport: Outgoing binding to: ipc:///tmp/fprime-server-out
[2025-10-15 10:45:27,461] [WARNING] tcp_handler: Failed to open socket at 172.20.10.2:50000, retrying: ConnectionRefusedError: [Errno 111] Connection refused
[2025-10-15 10:45:28,534] [WARNING] tcp_handler: Failed to open socket at 172.20.10.2:50000, retrying: ConnectionRefusedError: [Errno 111] Connection refused
[2025-10-15 10:45:29,539] [WARNING] tcp_handler: Failed to open socket at 172.20.10.2:50000, retrying: ConnectionRefusedError: [Errno 111] Connection refused
[2025-10-15 10:45:30,544] [WARNING] tcp_handler: Failed to open socket at 172.20.10.2:50000, retrying: ConnectionRefusedError: [Errno 111] Connection refused
[2025-10-15 10:45:31,553] [WARNING] tcp_handler: Failed to open socket at 172.20.10.2:50000, retrying: ConnectionRefusedError: [Errno 111] Connection refused
[2025-10-15 10:45:32,558] [WARNING] tcp_handler: Failed to open socket at 172.20.10.2:50000, retrying: ConnectionRefusedError: [Errno 111] Connection refused
[2025-10-15 10:45:33,562] [WARNING] tcp_handler: Failed to open socket at 172.20.10.2:50000, retrying: ConnectionRefusedError: [Errno 111] Connection refused
[2025-10-15 10:45:34,569] [WARNING] tcp_handler: Failed to open socket at 172.20.10.2:50000, retrying: ConnectionRefusedError: [Errno 111] Connection refused
[2025-10-15 10:45:35,576] [WARNING] tcp_handler: Failed to open socket at 172.20.10.2:50000, retrying: ConnectionRefusedError: [Errno 111] Connection refused
[2025-10-15 10:45:36,580] [WARNING] tcp_handler: Failed to open socket at 172.20.10.2:50000, retrying: ConnectionRefusedError: [Errno 111] Connection refused
[2025-10-15 10:45:37,588] [WARNING] tcp_handler: Failed to open socket at 172.20.10.2:50000, retrying: ConnectionRefusedError: [Errno 111] Connection refused
[2025-10-15 10:45:38,595] [WARNING] tcp_handler: Failed to open socket at 172.20.10.2:50000, retrying: ConnectionRefusedError: [Errno 111] Connection refused
