[2025-10-10 15:09:40,142] [INFO] root: Logging system initialized!
[2025-10-10 15:09:40,142] [INFO] comm: Starting uplinker/downlinker connecting to FSW using ip with fprime
[2025-10-10 15:09:40,143] [INFO] udp_handler: Client connected to 192.168.4.2:50000
[2025-10-10 15:09:40,144] [WARNING] tcp_handler: Failed to open socket at 192.168.4.2:50000, retrying: ConnectionRefusedError: [Errno 111] Connection refused
[2025-10-10 15:09:40,150] [INFO] transport: Incoming binding to: ipc:///tmp/fprime-server-in
[2025-10-10 15:09:40,654] [INFO] transport: Outgoing binding to: ipc:///tmp/fprime-server-out
[2025-10-10 15:09:41,145] [WARNING] tcp_handler: Failed to open socket at 192.168.4.2:50000, retrying: ConnectionRefusedError: [Errno 111] Connection refused
[2025-10-10 15:09:42,147] [WARNING] tcp_handler: Failed to open socket at 192.168.4.2:50000, retrying: ConnectionRefusedError: [Errno 111] Connection refused
[2025-10-10 15:09:43,148] [WARNING] tcp_handler: Failed to open socket at 192.168.4.2:50000, retrying: ConnectionRefusedError: [Errno 111] Connection refused
[2025-10-10 15:09:44,150] [WARNING] tcp_handler: Failed to open socket at 192.168.4.2:50000, retrying: ConnectionRefusedError: [Errno 111] Connection refused
[2025-10-10 15:09:45,151] [WARNING] tcp_handler: Failed to open socket at 192.168.4.2:50000, retrying: ConnectionRefusedError: [Errno 111] Connection refused
[2025-10-10 15:09:48,675] [WARNING] tcp_handler: Failed to open socket at 192.168.4.2:50000, retrying: ConnectionRefusedError: [Errno 111] Connection refused
[2025-10-10 15:09:49,676] [WARNING] tcp_handler: Failed to open socket at 192.168.4.2:50000, retrying: ConnectionRefusedError: [Errno 111] Connection refused
[2025-10-10 15:09:50,678] [WARNING] tcp_handler: Failed to open socket at 192.168.4.2:50000, retrying: ConnectionRefusedError: [Errno 111] Connection refused
[2025-10-10 15:09:51,679] [WARNING] tcp_handler: Failed to open socket at 192.168.4.2:50000, retrying: ConnectionRefusedError: [Errno 111] Connection refused
