2025-10-01T17:15:15.388965,(2(0)-1759364115:388965),CDHDeployment.prmDb.PrmFileReadError,3334,EventSeverity.WARNING_HI,Parameter file read failed in stage OPEN with record 0 and error 1
2025-10-01T17:15:16.407400,(2(0)-1759364116:407400),CDHDeployment.radioBridge.RADIO_TX_STARTED,3584,EventSeverity.ACTIVITY_LO,Radio transmission started
2025-10-01T17:15:17.406593,(2(0)-1759364117:406593),CDHDeployment.radioBridge.RADIO_TX_STARTED,3584,EventSeverity.ACTIVITY_LO,Radio transmission started
2025-10-01T17:15:18.406533,(2(0)-1759364118:406533),CDHDeployment.radioBridge.RADIO_TX_STARTED,3584,EventSeverity.ACTIVITY_LO,Radio transmission started
2025-10-01T17:15:19.406607,(2(0)-1759364119:406607),CDHDeployment.radioBridge.RADIO_TX_STARTED,3584,EventSeverity.ACTIVITY_LO,Radio transmission started
2025-10-01T17:15:20.406636,(2(0)-1759364120:406636),CDHDeployment.radioBridge.RADIO_TX_STARTED,3584,EventSeverity.ACTIVITY_LO,Radio transmission started
2025-10-01T17:15:21.406948,(2(0)-1759364121:406948),CDHDeployment.radioBridge.RADIO_TX_STARTED,3584,EventSeverity.ACTIVITY_LO,Radio transmission started
2025-10-01T17:15:22.406744,(2(0)-1759364122:406744),CDHDeployment.radioBridge.RADIO_TX_STARTED,3584,EventSeverity.ACTIVITY_LO,Radio transmission started
2025-10-01T17:15:23.406445,(2(0)-1759364123:406445),CDHDeployment.radioBridge.RADIO_TX_STARTED,3584,EventSeverity.ACTIVITY_LO,Radio transmission started
2025-10-01T17:15:24.406587,(2(0)-1759364124:406587),CDHDeployment.radioBridge.RADIO_TX_STARTED,3584,EventSeverity.ACTIVITY_LO,Radio transmission started
2025-10-01T17:15:25.406577,(2(0)-1759364125:406577),CDHDeployment.radioBridge.RADIO_TX_STARTED,3584,EventSeverity.ACTIVITY_LO,Radio transmission started
2025-10-01T17:15:26.406491,(2(0)-1759364126:406491),CDHDeployment.radioBridge.RADIO_TX_STARTED,3584,EventSeverity.ACTIVITY_LO,Radio transmission started
2025-10-01T17:15:27.406497,(2(0)-1759364127:406497),CDHDeployment.radioBridge.RADIO_TX_STARTED,3584,EventSeverity.ACTIVITY_LO,Radio transmission started
2025-10-01T17:15:28.406524,(2(0)-1759364128:406524),CDHDeployment.radioBridge.RADIO_TX_STARTED,3584,EventSeverity.ACTIVITY_LO,Radio transmission started
2025-10-01T17:15:29.406637,(2(0)-1759364129:406637),CDHDeployment.radioBridge.RADIO_TX_STARTED,3584,EventSeverity.ACTIVITY_LO,Radio transmission started
2025-10-01T17:15:30.406483,(2(0)-1759364130:406483),CDHDeployment.radioBridge.RADIO_TX_STARTED,3584,EventSeverity.ACTIVITY_LO,Radio transmission started
2025-10-01T17:15:31.406819,(2(0)-1759364131:406819),CDHDeployment.radioBridge.RADIO_TX_STARTED,3584,EventSeverity.ACTIVITY_LO,Radio transmission started
2025-10-01T17:15:32.407137,(2(0)-1759364132:407137),CDHDeployment.radioBridge.RADIO_TX_STARTED,3584,EventSeverity.ACTIVITY_LO,Radio transmission started
2025-10-01T17:15:33.406698,(2(0)-1759364133:406698),CDHDeployment.radioBridge.RADIO_TX_STARTED,3584,EventSeverity.ACTIVITY_LO,Radio transmission started
2025-10-01T17:15:34.406564,(2(0)-1759364134:406564),CDHDeployment.radioBridge.RADIO_TX_STARTED,3584,EventSeverity.ACTIVITY_LO,Radio transmission started
2025-10-01T17:15:35.406420,(2(0)-1759364135:406420),CDHDeployment.radioBridge.RADIO_TX_STARTED,3584,EventSeverity.ACTIVITY_LO,Radio transmission started
2025-10-01T17:15:36.406753,(2(0)-1759364136:406753),CDHDeployment.radioBridge.RADIO_TX_STARTED,3584,EventSeverity.ACTIVITY_LO,Radio transmission started
2025-10-01T17:15:37.406591,(2(0)-1759364137:406591),CDHDeployment.radioBridge.RADIO_TX_STARTED,3584,EventSeverity.ACTIVITY_LO,Radio transmission started
2025-10-01T17:15:38.406520,(2(0)-1759364138:406520),CDHDeployment.radioBridge.RADIO_TX_STARTED,3584,EventSeverity.ACTIVITY_LO,Radio transmission started
2025-10-01T17:15:39.406612,(2(0)-1759364139:406612),CDHDeployment.radioBridge.RADIO_TX_STARTED,3584,EventSeverity.ACTIVITY_LO,Radio transmission started
2025-10-01T17:15:40.406652,(2(0)-1759364140:406652),CDHDeployment.radioBridge.RADIO_TX_STARTED,3584,EventSeverity.ACTIVITY_LO,Radio transmission started
2025-10-01T17:15:41.406510,(2(0)-1759364141:406510),CDHDeployment.radioBridge.RADIO_TX_STARTED,3584,EventSeverity.ACTIVITY_LO,Radio transmission started
2025-10-01T17:15:42.406674,(2(0)-1759364142:406674),CDHDeployment.radioBridge.RADIO_TX_STARTED,3584,EventSeverity.ACTIVITY_LO,Radio transmission started
2025-10-01T17:15:43.406563,(2(0)-1759364143:406563),CDHDeployment.radioBridge.RADIO_TX_STARTED,3584,EventSeverity.ACTIVITY_LO,Radio transmission started
2025-10-01T17:15:44.406692,(2(0)-1759364144:406692),CDHDeployment.radioBridge.RADIO_TX_STARTED,3584,EventSeverity.ACTIVITY_LO,Radio transmission started
2025-10-01T17:15:45.406506,(2(0)-1759364145:406506),CDHDeployment.radioBridge.RADIO_TX_STARTED,3584,EventSeverity.ACTIVITY_LO,Radio transmission started
