2025-10-01T11:57:50.487958,(2(0)-1759345070:487958),CDHDeployment.comQueue.buffQueueDepth,1793,['0']
2025-10-01T11:57:51.485035,(2(0)-1759345071:485035),CDHDeployment.systemResources.CPU_00,18949,17.00 percent
2025-10-01T11:57:51.485869,(2(0)-1759345071:485869),CDHDeployment.systemResources.CPU_01,18950,15.84 percent
2025-10-01T11:57:51.486937,(2(0)-1759345071:486937),CDHDeployment.systemResources.CPU_02,18951,11.22 percent
2025-10-01T11:57:51.488027,(2(0)-1759345071:488027),CDHDeployment.systemResources.CPU_03,18952,17.53 percent
2025-10-01T11:57:51.488032,(2(0)-1759345071:488032),CDHDeployment.systemResources.CPU,18948,15.40 percent
2025-10-01T11:57:51.488057,(2(0)-1759345071:488057),CDHDeployment.systemResources.MEMORY_TOTAL,18944,426836 KB
2025-10-01T11:57:51.488062,(2(0)-1759345071:488062),CDHDeployment.systemResources.MEMORY_USED,18945,125088 KB
2025-10-01T11:57:51.488089,(2(0)-1759345071:488089),CDHDeployment.systemResources.NON_VOLATILE_FREE,18947,55507608 KB
2025-10-01T11:57:51.488094,(2(0)-1759345071:488094),CDHDeployment.systemResources.NON_VOLATILE_TOTAL,18946,60785600 KB
2025-10-01T11:57:51.488383,(2(0)-1759345071:488383),CDHDeployment.rateGroup1.RgMaxTime,512,4749 us
2025-10-01T11:57:51.488227,(2(0)-1759345071:488227),CDHDeployment.comQueue.comQueueDepth,1792,['1', '1']
2025-10-01T11:57:51.488237,(2(0)-1759345071:488237),CDHDeployment.comQueue.buffQueueDepth,1793,['0']
2025-10-01T11:57:51.484075,(2(0)-1759345071:484075),CDHDeployment.rateGroup3.RgMaxTime,1024,432 us
2025-10-01T11:57:52.484937,(2(0)-1759345072:484937),CDHDeployment.systemResources.CPU_00,18949,21.43 percent
2025-10-01T11:57:52.485729,(2(0)-1759345072:485729),CDHDeployment.systemResources.CPU_01,18950,10.31 percent
2025-10-01T11:57:52.486626,(2(0)-1759345072:486626),CDHDeployment.systemResources.CPU_02,18951,13.40 percent
2025-10-01T11:57:52.487689,(2(0)-1759345072:487689),CDHDeployment.systemResources.CPU_03,18952,10.31 percent
2025-10-01T11:57:52.487695,(2(0)-1759345072:487695),CDHDeployment.systemResources.CPU,18948,13.86 percent
