[2025-11-05 19:14:13,519] [INFO] root: Logging system initialized!
[2025-11-05 19:14:13,521] [INFO] comm: Starting uplinker/downlinker connecting to FSW using ip with space-packet-space-data-link
[2025-11-05 19:14:13,523] [INFO] udp_handler: Client connected to 192.168.1.11:50000
[2025-11-05 19:14:13,526] [INFO] transport: Incoming binding to: ipc:///tmp/fprime-server-in
[2025-11-05 19:14:13,695] [INFO] tcp_handler: Client connected to 192.168.1.11:50000
[2025-11-05 19:14:14,024] [INFO] transport: Outgoing binding to: ipc:///tmp/fprime-server-out
[2025-11-05 20:29:07,832] [WARNING] tcp_handler: Read failure attempting reconnection. OSError: [Errno 113] No route to host
[2025-11-05 20:32:14,777] [WARNING] tcp_handler: Failed to open socket at 192.168.1.11:50000, retrying: OSError: [Errno 113] No route to host
[2025-11-05 20:32:18,845] [WARNING] tcp_handler: Failed to open socket at 192.168.1.11:50000, retrying: OSError: [Errno 113] No route to host
[2025-11-05 20:32:22,905] [WARNING] tcp_handler: Failed to open socket at 192.168.1.11:50000, retrying: OSError: [Errno 113] No route to host
[2025-11-05 20:32:26,969] [WARNING] tcp_handler: Failed to open socket at 192.168.1.11:50000, retrying: OSError: [Errno 113] No route to host
[2025-11-05 20:32:31,033] [WARNING] tcp_handler: Failed to open socket at 192.168.1.11:50000, retrying: OSError: [Errno 113] No route to host
[2025-11-05 20:32:35,097] [WARNING] tcp_handler: Failed to open socket at 192.168.1.11:50000, retrying: OSError: [Errno 113] No route to host
[2025-11-05 20:32:39,161] [WARNING] tcp_handler: Failed to open socket at 192.168.1.11:50000, retrying: OSError: [Errno 113] No route to host
[2025-11-05 20:32:43,225] [WARNING] tcp_handler: Failed to open socket at 192.168.1.11:50000, retrying: OSError: [Errno 113] No route to host
[2025-11-05 20:32:50,614] [WARNING] tcp_handler: Failed to open socket at 192.168.1.11:50000, retrying: OSError: [Errno 113] No route to host
[2025-11-05 20:32:54,678] [WARNING] tcp_handler: Failed to open socket at 192.168.1.11:50000, retrying: OSError: [Errno 113] No route to host
[2025-11-05 20:32:58,742] [WARNING] tcp_handler: Failed to open socket at 192.168.1.11:50000, retrying: OSError: [Errno 113] No route to host
[2025-11-05 20:33:02,806] [WARNING] tcp_handler: Failed to open socket at 192.168.1.11:50000, retrying: OSError: [Errno 113] No route to host
[2025-11-05 20:33:06,870] [WARNING] tcp_handler: Failed to open socket at 192.168.1.11:50000, retrying: OSError: [Errno 113] No route to host
[2025-11-05 20:33:10,934] [WARNING] tcp_handler: Failed to open socket at 192.168.1.11:50000, retrying: OSError: [Errno 113] No route to host
[2025-11-05 20:33:14,998] [WARNING] tcp_handler: Failed to open socket at 192.168.1.11:50000, retrying: OSError: [Errno 113] No route to host
[2025-11-05 20:33:19,062] [WARNING] tcp_handler: Failed to open socket at 192.168.1.11:50000, retrying: OSError: [Errno 113] No route to host
[2025-11-05 20:33:26,266] [WARNING] tcp_handler: Failed to open socket at 192.168.1.11:50000, retrying: OSError: [Errno 113] No route to host
[2025-11-05 20:33:30,330] [WARNING] tcp_handler: Failed to open socket at 192.168.1.11:50000, retrying: OSError: [Errno 113] No route to host
[2025-11-05 20:33:34,394] [WARNING] tcp_handler: Failed to open socket at 192.168.1.11:50000, retrying: OSError: [Errno 113] No route to host
[2025-11-05 20:33:38,458] [WARNING] tcp_handler: Failed to open socket at 192.168.1.11:50000, retrying: OSError: [Errno 113] No route to host
[2025-11-05 20:33:42,522] [WARNING] tcp_handler: Failed to open socket at 192.168.1.11:50000, retrying: OSError: [Errno 113] No route to host
[2025-11-05 20:33:46,586] [WARNING] tcp_handler: Failed to open socket at 192.168.1.11:50000, retrying: OSError: [Errno 113] No route to host
