[2025-10-08 13:54:30,756] [INFO] root: Logging system initialized!
[2025-10-08 13:54:30,757] [INFO] comm: Starting uplinker/downlinker connecting to FSW using ip with fprime
[2025-10-08 13:54:30,757] [INFO] udp_handler: Client connected to 192.168.4.1:50000
[2025-10-08 13:54:30,757] [WARNING] tcp_handler: Failed to open socket at 192.168.4.1:50000, retrying: ConnectionRefusedError: [Errno 111] Connection refused
[2025-10-08 13:54:30,784] [INFO] transport: Incoming binding to: ipc:///tmp/fprime-server-in
[2025-10-08 13:54:31,274] [INFO] transport: Outgoing binding to: ipc:///tmp/fprime-server-out
[2025-10-08 13:54:31,758] [WARNING] tcp_handler: Failed to open socket at 192.168.4.1:50000, retrying: ConnectionRefusedError: [Errno 111] Connection refused
[2025-10-08 13:54:32,758] [WARNING] tcp_handler: Failed to open socket at 192.168.4.1:50000, retrying: ConnectionRefusedError: [Errno 111] Connection refused
[2025-10-08 13:54:33,758] [WARNING] tcp_handler: Failed to open socket at 192.168.4.1:50000, retrying: ConnectionRefusedError: [Errno 111] Connection refused
[2025-10-08 13:54:34,758] [WARNING] tcp_handler: Failed to open socket at 192.168.4.1:50000, retrying: ConnectionRefusedError: [Errno 111] Connection refused
[2025-10-08 13:54:35,759] [WARNING] tcp_handler: Failed to open socket at 192.168.4.1:50000, retrying: ConnectionRefusedError: [Errno 111] Connection refused
[2025-10-08 13:54:36,759] [WARNING] tcp_handler: Failed to open socket at 192.168.4.1:50000, retrying: ConnectionRefusedError: [Errno 111] Connection refused
[2025-10-08 13:54:37,759] [WARNING] tcp_handler: Failed to open socket at 192.168.4.1:50000, retrying: ConnectionRefusedError: [Errno 111] Connection refused
[2025-10-08 13:54:38,759] [WARNING] tcp_handler: Failed to open socket at 192.168.4.1:50000, retrying: ConnectionRefusedError: [Errno 111] Connection refused
[2025-10-08 13:54:39,760] [WARNING] tcp_handler: Failed to open socket at 192.168.4.1:50000, retrying: ConnectionRefusedError: [Errno 111] Connection refused
[2025-10-08 13:54:40,760] [WARNING] tcp_handler: Failed to open socket at 192.168.4.1:50000, retrying: ConnectionRefusedError: [Errno 111] Connection refused
[2025-10-08 13:54:41,760] [WARNING] tcp_handler: Failed to open socket at 192.168.4.1:50000, retrying: ConnectionRefusedError: [Errno 111] Connection refused
